AGEP,SEX,SCHL,MAR,OCCP,WKHP,COW,CIT,RAC1P,DIS,HICOV,NATIVITY,income_label
84,2,18,2,4120,40,1,1,1,1,1,1,0
32,2,19,5,3422,40,1,1,2,2,2,1,0
8,1,5,5,4120,40,1,1,1,2,1,1,0
4,2,2,5,4120,40,1,1,1,2,1,1,0
3,2,1,5,4120,40,1,1,1,2,1,1,0
15,2,11,5,4120,40,1,1,1,2,1,1,0
26,2,18,5,3645,40,1,1,1,2,1,1,0
70,2,18,1,5740,40,4,1,2,2,1,1,1
68,1,1,2,9130,40,2,1,1,2,1,1,0
69,2,21,1,4120,40,1,1,1,1,1,1,0
65,2,19,1,4120,40,1,1,1,1,1,1,0
16,1,13,5,4120,40,1,1,1,2,1,1,0
56,2,16,4,4120,40,1,1,2,1,1,1,0
77,2,19,2,4120,40,1,1,1,1,1,1,0
14,2,11,5,4120,40,1,1,2,2,1,1,0
60,2,1,2,4200,40,6,1,2,2,2,1,0
37,1,16,5,7010,40,4,1,2,2,1,1,0
78,2,19,1,4120,40,1,1,1,2,1,1,0
47,1,16,1,7200,40,5,1,1,2,1,1,0
76,1,21,1,4120,40,1,1,1,2,1,1,1
64,2,21,1,4120,40,1,1,1,1,1,1,0
13,1,10,5,4120,40,1,1,1,2,1,1,0
71,2,19,3,4130,40,4,1,9,1,1,1,0
93,1,1,1,4120,40,1,1,2,1,1,1,0
2,1,18,5,4120,40,1,1,1,2,1,1,0
14,2,12,5,4120,40,1,1,9,2,1,1,0
30,2,18,3,9130,30,1,1,9,2,1,1,0
70,1,19,1,4120,40,1,1,1,2,1,1,0
60,1,15,5,5521,40,3,1,1,1,1,1,0
63,1,23,1,2100,40,7,1,1,2,1,1,1
56,2,16,1,5740,40,1,1,1,1,1,1,0
31,2,22,1,2722,20,1,1,1,2,1,1,0
56,2,22,1,2205,40,2,1,1,2,1,1,1
73,2,21,1,4120,40,1,1,1,1,1,1,0
20,1,18,5,5860,40,1,1,1,2,1,1,0
14,1,12,5,4120,40,1,1,1,2,1,1,0
35,2,19,1,5140,55,1,1,1,2,1,1,1
72,2,19,1,4120,40,1,1,1,2,1,1,0
61,1,19,1,205,20,6,1,1,2,1,1,0
31,1,22,1,120,40,3,1,1,2,1,1,0
80,1,18,1,4120,40,1,1,1,2,1,1,0
32,2,23,1,3250,34,1,1,1,2,1,1,1
7,2,3,5,4120,40,1,1,1,2,1,1,0
3,2,2,5,4120,40,1,1,1,2,1,1,0
26,1,18,1,8710,40,1,1,1,2,1,1,0
62,1,17,1,6355,40,1,1,1,1,1,1,0
64,2,14,4,4120,40,1,1,1,1,1,1,0
70,2,19,1,4120,40,1,1,1,1,1,1,1
59,2,16,1,4120,40,1,1,9,1,1,1,0
13,1,8,5,4120,40,1,1,1,2,1,1,0
70,2,21,3,4120,40,1,1,2,1,1,1,0
50,1,19,1,9030,44,1,1,1,2,1,1,1
9,1,6,5,4120,40,1,1,1,1,1,1,0
93,1,16,1,4120,40,1,1,1,2,1,1,0
70,1,23,1,4120,40,1,1,1,2,1,1,0
44,2,19,3,4120,38,3,1,1,2,1,1,0
39,2,18,1,5240,20,1,1,1,2,1,1,0
9,1,6,5,4120,40,1,1,1,2,1,1,0
